"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2012-05-21,1101,45,,5,,"45 lb || 5 reps","31"
"Barbell Squat",2012-05-21,1102,115,,5,,"115 lb || 5 reps","50"
"Barbell Squat",2012-05-21,1103,135,,5,,"135 lb || 5 reps","57"
"Barbell Squat",2012-05-21,1104,145,,1,,"145 lb || 1 reps","33"
"Barbell Squat",2012-05-24,1,45,,5,,"45 lb || 5 reps","31"
"Barbell Squat",2012-05-24,2,115,,5,,"115 lb || 5 reps","50"
"Barbell Squat",2012-05-24,3,145,,5,,"145 lb || 5 reps","61"
"Barbell Squat",2012-05-24,4,155,,3,,"155 lb || 3 reps","53"
"Barbell Squat",2012-05-24,5,165,,3,,"165 lb || 3 reps","56"
"Barbell Squat",2012-05-26,1,45,,5,,"45 lb || 5 reps","31"
"Barbell Squat",2012-05-26,2,135,,5,,"135 lb || 5 reps","57"
"Barbell Squat",2012-05-26,3,165,,5,,"165 lb || 5 reps","70"
"Barbell Squat",2012-05-26,4,175,,3,,"175 lb || 3 reps","60"
"Barbell Squat",2012-05-30,1,45,,5,,"45 lb || 5 reps","31"
"Barbell Squat",2012-05-30,2,135,,5,,"135 lb || 5 reps","57"
"Barbell Squat",2012-05-30,3,175,,3,,"175 lb || 3 reps","60"
"Barbell Squat",2012-05-30,4,185,,4,,"185 lb || 4 reps","74"
"Barbell Squat",2012-05-30,5,185,,1,,"185 lb || 1 reps","44"
"Barbell Squat",2012-06-01,1,45,,5,,"45 lb || 5 reps","31"
"Barbell Squat",2012-06-01,2,135,,5,,"135 lb || 5 reps","57"
"Barbell Squat",2012-06-01,3,175,,3,,"175 lb || 3 reps","60"
"Barbell Squat",2012-06-01,4,195,,2,,"195 lb || 2 reps","58"
"Barbell Squat",2012-06-03,1,45,,5,,"45 lb || 5 reps","31"
"Barbell Squat",2012-06-03,2,135,,3,,"135 lb || 3 reps","46"
"Barbell Squat",2012-06-03,3,175,,3,,"175 lb || 3 reps","60"
"Barbell Squat",2012-06-03,4,195,,3,,"195 lb || 3 reps","69"
"Barbell Squat",2012-06-03,5,200,,3,,"200 lb || 3 reps","71"
"Barbell Squat",2012-06-07,1,45,,5,,"45 lb || 5 reps","31"
"Barbell Squat",2012-06-07,2,135,,5,,"135 lb || 5 reps","57"
"Barbell Squat",2012-06-07,3,185,,3,,"185 lb || 3 reps","65"
"Barbell Squat",2012-06-07,4,200,,5,,"200 lb || 5 reps","89"
"Barbell Squat",2012-06-07,5,205,,1,,"205 lb || 1 reps","50"
"Barbell Squat",2012-06-09,1,45,,5,,"45 lb || 5 reps","31"
"Barbell Squat",2012-06-09,2,185,,5,,"185 lb || 5 reps","81"
"Barbell Squat",2012-06-09,3,195,,3,,"195 lb || 3 reps","69"
"Barbell Squat",2012-06-09,4,200,,3,,"200 lb || 3 reps","71"
"Barbell Squat",2012-06-09,5,205,,5,,"205 lb || 5 reps","92"
"Barbell Squat",2012-06-15,1,45,,5,,"45 lb || 5 reps","31"
"Barbell Squat",2012-06-15,2,185,,5,,"185 lb || 5 reps","81"
"Barbell Squat",2012-06-15,3,205,,3,,"205 lb || 3 reps","74"
"Barbell Squat",2012-06-15,4,215,,2,,"215 lb || 2 reps","67"
"Barbell Squat",2012-06-15,5,215,,1,,"215 lb || 1 reps","54"
"Barbell Squat",2012-06-18,1,45,,5,,"45 lb || 5 reps","31"
